school_year,system_id,school_name,grade_band,measure,measurename,score_type,scsc_school_score,school_comparison_score,district_comparison_score,designation
2022-2023,7830624,Spring Creek Charter Academy,E,1c,Grade Band Score,percentage,79.86,77.29695035460992,75.31482269503546,Y
2022-2023,7820615,Scintilla Charter Academy,E,1c,Grade Band Score,percentage,73.455,69.76478559176672,73.35554888507718,Y
2022-2023,7830617,Resurgence Hall Charter School,E,1c,Grade Band Score,percentage,97.52,69.2949184149184,85.06297202797204,Y
2022-2023,7820212,Cherokee Charter Academy,Whole School Score,2a,Content Mastery,percentage,61.38403483309142,70.46937590711177,73.95297532656022,N
2021-2022,7830630,Baconton Community Charter School,H,1a,Content Mastery,percentage,63.7,32.5,33.1,Y
2020-2021,7830210,Pataula Charter Academy,E,1f,GaDOE Achievement,percentage,40.6006,22.298039361702127,"",Y
2021-2022,7830610,Coweta Charter Academy,E,1d,Value-Add,decimal,-0.1121,-0.0392,"",N
2020-2021,7820120,Georgia Cyber Academy,M,1a-a,Content Mastery Adjusted,percentage,56.58184902361215,29.848336705335512,"",Y
2021-2022,7830627,Atlanta SMART Academy,M,1b,Progress,percentage,57.9,78.3,"",N
2022-2023,7830614,Liberty Tech Charter Academy,E,1d,Value-Add,decimal,-0.02923821657896042,0.024449761870073417,0.01134405258926563,N
2020-2021,7830210,Pataula Charter Academy,M,1a-a,Content Mastery Adjusted,percentage,TFS,19.03449647523886,"",""
2020-2021,7830623,Academy For Classical Education,M,1a-a,Content Mastery Adjusted,percentage,87.33399718967519,22.830245873026232,"",Y
2022-2023,7830625,Yi Hwang Academy of Language Excellence,E,1c,Grade Band Score,percentage,99.11,82.79403076923077,80.23632307692309,Y
2021-2022,7820212,Cherokee Charter Academy,Whole School Score,2a,Content Mastery,percentage,57.84348484848485,71.66944583547338,"",N
2020-2021,7820212,Cherokee Charter Academy,E,1f,GaDOE Achievement,percentage,55.180499999999995,66.76406679316888,"",N
2022-2023,7830616,Genesis Innovation Academy for Girls,M,1d,Value-Add,decimal,0.05242899805307388,0.02259480750763032,0.026231008378090337,N
2021-2022,7830621,SLAM Academy of Atlanta,M,1d,Value-Add,decimal,"","","",""
2021-2022,7830613,Brookhaven Innovation Academy,M,1d,Value-Add,decimal,0.1038,0.0433,"",S
2022-2023,7830611,Cirrus Charter Academy,Whole School Score,2b,Progress,percentage,72.10706319702601,71.91394052044609,75.48550185873606,Y
2021-2022,7830611,Cirrus Charter Academy,M,1a,Content Mastery,percentage,27.6,30.0,36.5,N
2022-2023,7820110,Odyssey Charter School,E,1d,Value-Add,decimal,-0.13610117137432098,-0.031939703706939326,-0.02483828176627867,N
2022-2023,7820212,Cherokee Charter Academy,M,1d,Value-Add,decimal,0.08330551534891129,-0.06561122483981308,-0.0691232427052455,Y
2020-2021,7830310,Fulton Leadership Academy,H,1a-a,Content Mastery Adjusted,percentage,TFS,4.392960062096343,"",""
2021-2022,7830634,Georgia Fugees Academy Charter School,Whole School Score,2a,Content Mastery,percentage,40.140476190476186,47.74285714285714,"",N
2021-2022,7830610,Coweta Charter Academy,M,1d,Value-Add,decimal,-0.0569,-0.0165,"",S
2020-2021,7820110,Odyssey Charter School,E,1f,GaDOE Achievement,percentage,46.3938,59.09348230452676,"",N
2021-2022,7830616,Genesis Innovation Academy for Girls,M,1d,Value-Add,decimal,0.0873,0.098,"",S
2020-2021,7820110,Odyssey Charter School,E,1a-na,Content Mastery Non-Adjusted,percentage,46.17095861745283,53.06611948983159,"",N
2022-2023,7820614,International Charter School of Atlanta,M,1c,Grade Band Score,percentage,86.19500000000001,81.77129834254141,77.00267955801104,Y
2021-2022,7830628,Ethos Classical Charter School,Whole School Score,2a,Content Mastery,percentage,52.4,40.3,"",Y
2021-2022,7820120,Georgia Cyber Academy,E,1d,Value-Add,decimal,-0.1191,0.0211,"",N
2020-2021,7830410,Atlanta Heights Charter School,M,1a-a,Content Mastery Adjusted,percentage,TFS,2.9162607817859287,"",""
2022-2023,7830616,Genesis Innovation Academy for Girls,E,1a,Content Mastery,percentage,71.6,41.2981981981982,55.75900900900902,Y
2022-2023,7830613,Brookhaven Innovation Academy,M,1b,Progress,percentage,81.2,77.42631578947368,82.46390977443609,Y
2022-2023,7830636,Northwest Classical Academy,M,1b,Progress,percentage,90.5,83.0048245614035,82.75350877192983,Y
2021-2022,7830615,Genesis Innovation Academy for Boys,H,1b,Progress,percentage,"","","",""
2022-2023,7820412,Georgia Connections Academy,Whole School Score,2a,Content Mastery,percentage,59.74666209308747,56.59286669888857,60.160734616427206,Y
2022-2023,7830634,Georgia Fugees Academy Charter School,H,1b,Progress,percentage,70,78.4509090909091,80.8072727272727,N
2021-2022,7830615,Genesis Innovation Academy for Boys,E,1a,Content Mastery,percentage,50.5,37.9,53.3,Y
2022-2023,7820110,Odyssey Charter School,M,1b,Progress,percentage,93.1,79.94210526315788,78.80921052631577,Y
2022-2023,7820615,Scintilla Charter Academy,E,1b,Progress,percentage,68.2,81.62246998284735,82.98113207547169,N
2020-2021,7820212,Cherokee Charter Academy,E,1a-a,Content Mastery Adjusted,percentage,47.60853182442187,64.00162401320085,"",N
2022-2023,7830630,Baconton Community Charter School,M,1a,Content Mastery,percentage,67.6,46.95063125738397,48.291561181434595,Y
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,Whole School Score,2b,Progress,percentage,79.3914979757085,87.09291497975708,87.31882591093118,N
2022-2023,7830310,Fulton Leadership Academy,H,1d,Value-Add,decimal,-0.03320867195725441,0.04471364877281303,0.030210502474801615,N
2022-2023,7830627,Atlanta SMART Academy,Whole School Score,2a,Content Mastery,percentage,36.61333333333332,40.077333333333335,57.347555555555566,N
