school_year,system_id,school_name,grade_band,measure,measurename,score_type,scsc_school_score,school_comparison_score,district_comparison_score,designation
2021-2022,7830625,Yi Hwang Academy of Language Excellence,E,1a,Content Mastery,percentage,93.9,81.2,73.3,Y
2022-2023,7830623,Academy For Classical Education,M,1d,Value-Add,decimal,-0.05084997043013573,-0.03538125312934426,-0.0361975150347007,N
2022-2023,7830643,Amana Academy West Atlanta,Whole School Score,2a,Content Mastery,percentage,75.79999999999995,52.885714285714265,70.32514285714285,Y
2021-2022,7820615,Scintilla Charter Academy,Whole School Score,2a,Content Mastery,percentage,89.23305647840533,59.36904560501783,"",Y
2022-2023,7820120,Georgia Cyber Academy,H,1d,Value-Add,decimal,0.06024607643485069,0.006913290849411169,0.0030023770865739152,Y
2021-2022,7830627,Atlanta SMART Academy,E,1a,Content Mastery,percentage,31.6,34.4,54.6,N
2020-2021,7830633,D.E.L.T.A. STEAM Academy,E,1a-a,Content Mastery Adjusted,percentage,49.42599655856814,28.540960959866915,"",Y
2022-2023,7820616,Georgia School for Innovation and the Classics,E,1d,Value-Add,decimal,-0.07771530002355576,-0.026277302582911943,-0.018738624850811902,N
2022-2023,7830625,Yi Hwang Academy of Language Excellence,E,1d,Value-Add,decimal,0.3062466084957123,0.027786755387751327,0.021003293040848803,Y
2021-2022,7820617,Dubois Integrity Academy,M,1a,Content Mastery,percentage,41.5,33.6,37.2,Y
2022-2023,7830630,Baconton Community Charter School,M,1d,Value-Add,decimal,0.08199970424175262,0.06693433976033702,0.09620286522840615,N
2022-2023,7830618,SAIL Charter Academy - School for Arts-Infused Learning,E,1d,Value-Add,decimal,-0.24429240822792053,0.0434606451711943,0.03749327365949284,N
2020-2021,7830624,Spring Creek Charter Academy,M,1a-a,Content Mastery Adjusted,percentage,41.95270792678238,48.70866524136977,"",N
2022-2023,7830626,Furlow Charter School,M,1d,Value-Add,decimal,0.014316479675471783,0.0836104154586792,0.08417884296977718,N
2021-2022,7830310,Fulton Leadership Academy,M,1b,Progress,percentage,76.7,74.6,"",Y
2020-2021,7830410,Atlanta Heights Charter School,E,1a-a,Content Mastery Adjusted,percentage,12.128359527882443,5.366836346930171,"",Y
2022-2023,7820616,Georgia School for Innovation and the Classics,M,1c,Grade Band Score,percentage,80.50999999999999,60.609063745019924,61.884641434262946,Y
2022-2023,7830632,Atlanta Unbound Academy,E,1b,Progress,percentage,"",86.17950310559007,89.35900621118013,Y
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,E,1b,Progress,percentage,75.4,88.56742424242425,88.93143939393939,N
2022-2023,7830210,Pataula Charter Academy,H,1d,Value-Add,decimal,-0.09283347427845001,0.1827054476016201,0.18312055367277935,N
2022-2023,7820110,Odyssey Charter School,Whole School Score,2d,Value-Add,decimal,-0.04131525754928589,-0.033483205073935096,0.0033197343836945947,N
2020-2021,7820615,Scintilla Charter Academy,M,1f,GaDOE Achievement,percentage,71.155,52.48689655172414,"",Y
2021-2022,7830617,Resurgence Hall Charter School,Whole School Score,2a,Content Mastery,percentage,87.6,42.6,"",Y
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,Whole School Score,2d,Value-Add,decimal,-0.04066987708210945,0.1017921067905263,0.09684144328275579,N
2021-2022,7820110,Odyssey Charter School,E,1b,Progress,percentage,76.8,82.2,"",N
2021-2022,7830633,D.E.L.T.A. STEAM Academy,E,1d,Value-Add,decimal,-0.1732,0.0754,"",N
2020-2021,7830618,SAIL Charter Academy,M,1a-a,Content Mastery Adjusted,percentage,49.95079584930502,48.674395126346454,"",""
2022-2023,7830618,SAIL Charter Academy - School for Arts-Infused Learning,E,1b,Progress,percentage,61.3,86.42054794520547,89.51986301369861,N
2020-2021,7820614,International Charter School of Atlanta,M,1a-a,Content Mastery Adjusted,percentage,69.08213609444154,39.5314397882995,"",Y
2022-2023,7830617,Resurgence Hall Charter School,E,1a,Content Mastery,percentage,96.2,45.6060606060606,73.65454545454547,Y
2020-2021,7820412,Georgia Connections Academy,E,1a-na,Content Mastery Non-Adjusted,percentage,72.20238102500001,42.744592803142105,"",Y
2020-2021,7830610,Coweta Charter Academy,M,1a-na,Content Mastery Non-Adjusted,percentage,70.3807654880296,54.24399959118047,"",Y
2022-2023,7830613,Brookhaven Innovation Academy,Whole School Score,2a,Content Mastery,percentage,64.76298342541435,54.07219152854514,67.51823204419888,Y
2020-2021,7830620,International Charter Academy of Georgia,E,1f,GaDOE Achievement,percentage,73.29499999999999,55.19528106796116,"",Y
2022-2023,7830634,Georgia Fugees Academy Charter School,H,1a,Content Mastery,percentage,TFS,42.330909090909095,52.99454545454545,Y
2022-2023,7820212,Cherokee Charter Academy,Whole School Score,2d,Value-Add,decimal,0.02322433516383171,-0.034086775592186314,-0.027649316762108356,Y
2022-2023,7820412,Georgia Connections Academy,H,1a,Content Mastery,percentage,66.4,59.20531127469881,62.199909638554225,Y
2022-2023,7820212,Cherokee Charter Academy,Whole School Score,2c,Grade Band Score,percentage,77.90513788098691,75.01534107402031,75.78897677793904,Y
2020-2021,7820120,Georgia Cyber Academy,M,1a-na,Content Mastery Non-Adjusted,percentage,63.119932413092954,44.160924335531,"",Y
2020-2021,7830611,Cirrus Charter Academy,M,1f,GaDOE Achievement,percentage,15.707499999999998,23.076473463687154,"",N
2021-2022,7820614,International Charter School of Atlanta,M,1a,Content Mastery,percentage,94.2,78.7,71.4,Y
2020-2021,7830625,Yi Hwang Academy of Language Excellence,E,1a-a,Content Mastery Adjusted,percentage,TFS,58.17026628930756,"",""
2020-2021,7830614,Liberty Tech Charter Academy,M,1a-a,Content Mastery Adjusted,percentage,TFS,42.02595748580264,"",""
2022-2023,7830625,Yi Hwang Academy of Language Excellence,Whole School Score,2a,Content Mastery,percentage,99.70000000000007,79.81846153846155,74.98123076923079,Y
2020-2021,7830634,Georgia Fugees Academy Charter School,H,1a-a,Content Mastery Adjusted,percentage,TFS,14.838883541586053,"",""
2022-2023,7830210,Pataula Charter Academy,M,1b,Progress,percentage,91.5,90.625,90.625,Y
2022-2023,7830626,Furlow Charter School,M,1b,Progress,percentage,85.6,80.17972027972027,80.24685314685314,Y
2020-2021,7820612,"Ivy Preparatory Academy, Inc",E,1f,GaDOE Achievement,percentage,36.78,22.137660606060603,"",Y
2022-2023,7830624,Spring Creek Charter Academy,Whole School Score,2a,Content Mastery,percentage,56.73041474654379,58.08824884792628,55.13041474654378,Y
2022-2023,7830636,Northwest Classical Academy,Whole School Score,2c,Grade Band Score,percentage,74.39938700147705,77.6152880354505,75.75757754800591,S
2022-2023,7820617,Dubois Integrity Academy,M,1c,Grade Band Score,percentage,79.2,64.0,68.66633333333333,Y
2022-2023,7830616,Genesis Innovation Academy for Girls,Whole School Score,2c,Grade Band Score,percentage,79.14435185185192,66.62293209876542,74.57171296296298,Y
2021-2022,7830610,Coweta Charter Academy,Whole School Score,2a,Content Mastery,percentage,77.46284224250326,62.79711357380849,"",Y
2021-2022,7830624,Spring Creek Charter Academy,E,1d,Value-Add,decimal,0.0879,-0.1343,"",Y
2021-2022,7830630,Baconton Community Charter School,Whole School Score,2a,Content Mastery,percentage,61.6290950744559,36.202303466959386,"",Y
2022-2023,7830628,Ethos Classical Charter School,Whole School Score,2b,Progress,percentage,"",87.14398148148148,90.13333333333331,Y
2022-2023,7830623,Academy For Classical Education,Whole School Score,2d,Value-Add,decimal,-0.02534976229071617,-0.0557956731782312,-0.05905482965772535,Y
2022-2023,7820614,International Charter School of Atlanta,M,1a,Content Mastery,percentage,94.3,79.43701657458561,72.54585635359116,Y
2020-2021,7830410,Atlanta Heights Charter School,M,1f,GaDOE Achievement,percentage,26.365000000000002,18.885901960784313,"",Y
2022-2023,7830410,Atlanta Heights Charter School,E,1a,Content Mastery,percentage,39.2,32.250531914893614,55.57819148936172,Y
2022-2023,7830642,Destination Career Academy of Georgia,M,1a,Content Mastery,percentage,28.6,49.68716981132077,55.41358490566038,N
2020-2021,7830632,Atlanta Unbound Academy,M,1a-na,Content Mastery Non-Adjusted,percentage,TFS,31.279607558699905,"",""
2022-2023,7820614,International Charter School of Atlanta,Whole School Score,2d,Value-Add,decimal,-0.06818654388189316,-0.004942165659940656,0.010456459156557685,N
2022-2023,7830624,Spring Creek Charter Academy,E,1d,Value-Add,decimal,0.1017153337597847,-0.029318347515072674,-0.06163697574811522,Y
2022-2023,7820120,Georgia Cyber Academy,E,1c,Grade Band Score,percentage,60.105000000000004,69.00781059849345,73.43374583055363,N
2022-2023,7830103,Statesboro STEAM Academy,E,1b,Progress,percentage,TFS,77.7,81.7,Y
2020-2021,7820616,Georgia School for Innovation and the Classics,H,1a-a,Content Mastery Adjusted,percentage,44.712053925,13.133195190990445,"",Y
2021-2022,7830632,Atlanta Unbound Academy,M,1b,Progress,percentage,89.3,75.5,"",Y
2021-2022,7830615,Genesis Innovation Academy for Boys,Whole School Score,2a,Content Mastery,percentage,46.47814371257485,36.85702327122986,"",Y
2021-2022,7830636,Northwest Classical Academy,M,1a,Content Mastery,percentage,80.7,71.4,69.2,Y
2022-2023,7830615,Genesis Innovation Academy for Boys,M,1d,Value-Add,decimal,0.15746250748634338,0.017050825499609346,0.02684855651750695,Y
2021-2022,7830410,Atlanta Heights Charter School,M,1d,Value-Add,decimal,0.3103,0.2077,"",S
2022-2023,7830613,Brookhaven Innovation Academy,M,1d,Value-Add,decimal,-0.011986671946942806,-0.0038591475204157177,0.02842675363399394,N
2021-2022,7820616,Georgia School for Innovation and the Classics,M,1b,Progress,percentage,98.2,60.5,"",Y
2022-2023,7830628,Ethos Classical Charter School,E,1c,Grade Band Score,percentage,"",68.81109953703702,80.86847222222221,Y
2022-2023,7830617,Resurgence Hall Charter School,Whole School Score,2a,Content Mastery,percentage,96.20000000000003,45.6060606060606,73.65454545454547,Y
2020-2021,7830210,Pataula Charter Academy,E,1a-a,Content Mastery Adjusted,percentage,34.94477143705845,16.27614664456902,"",Y
2022-2023,7830614,Liberty Tech Charter Academy,M,1a,Content Mastery,percentage,75.3,62.38000000000001,66.8525925925926,Y
2021-2022,7820110,Odyssey Charter School,M,1d,Value-Add,decimal,0.0651,-0.011,"",S
2022-2023,7830626,Furlow Charter School,E,1d,Value-Add,decimal,0.026196423918008804,0.05613795839417435,0.1847964999042233,N
2022-2023,7820121,Utopian Academy for the Arts Charter School,Whole School Score,2b,Progress,percentage,79.29999999999998,83.65239234449761,84.48062200956939,N
2022-2023,7830103,Statesboro STEAM Academy,H,1d,Value-Add,decimal,-0.054126858711242676,-0.01926594990072772,-0.004350102506577969,N
2022-2023,7830630,Baconton Community Charter School,H,1a,Content Mastery,percentage,59.1,35.37829787234043,35.979574468085104,Y
2022-2023,7820612,"Ivy Preparatory Academy, Inc",Whole School Score,2a,Content Mastery,percentage,46.67826086956524,38.40600414078675,54.008488612836445,Y
2020-2021,7830620,International Charter Academy of Georgia,E,1a-na,Content Mastery Non-Adjusted,percentage,TFS,48.67687118669072,"",""
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,E,1c,Grade Band Score,percentage,68.78999999999999,70.72969696969697,71.00929924242425,S
2021-2022,7830626,Furlow Charter School,E,1a,Content Mastery,percentage,63.6,24.5,25.1,Y
2022-2023,7830623,Academy For Classical Education,E,1c,Grade Band Score,percentage,92.18,69.54125862068965,61.80453448275862,Y
2022-2023,7830613,Brookhaven Innovation Academy,E,1b,Progress,percentage,90.5,83.8,88.89170731707318,Y
2021-2022,7830103,Statesboro STEAM Academy,H,1a,Content Mastery,percentage,58.1,53.3,59.6,Y
2022-2023,7830642,Destination Career Academy of Georgia,Whole School Score,2c,Grade Band Score,percentage,"",67.53221698113205,69.82498113207541,Y
2022-2023,7830610,Coweta Charter Academy,Whole School Score,2b,Progress,percentage,80.68753335119618,80.35667376076556,82.91375598086124,Y
2021-2022,7830620,International Charter Academy of Georgia,Whole School Score,2a,Content Mastery,percentage,88.8,74.1,"",Y
2020-2021,7830634,Georgia Fugees Academy Charter School,M,1a-a,Content Mastery Adjusted,percentage,TFS,9.903738581257116,"",""
2022-2023,7830617,Resurgence Hall Charter School,E,1b,Progress,percentage,99.6,85.43613053613052,90.39020979020978,Y
2021-2022,7830618,SAIL Charter Academy - School for Arts-Infused Learning,Whole School Score,2a,Content Mastery,percentage,67.37619047619047,72.04050275775876,"",N
2021-2022,7830612,Southwest Georgia S.T.E.M. Charter Academy,E,1b,Progress,percentage,63.5,74.2,"",N
2020-2021,7830626,Furlow Charter School,H,1a-a,Content Mastery Adjusted,percentage,25.38063896536184,11.550174884278888,"",Y
2020-2021,7820612,"Ivy Preparatory Academy, Inc",E,1a-a,Content Mastery Adjusted,percentage,TFS,7.874868512599224,"",""
2022-2023,7830636,Northwest Classical Academy,E,1c,Grade Band Score,percentage,75.925,78.38633630289529,75.32053452115811,Y
2020-2021,7830633,D.E.L.T.A. STEAM Academy,E,1a-na,Content Mastery Non-Adjusted,percentage,56.316137000000005,28.512208811641816,"",Y
2022-2023,7830620,International Charter Academy of Georgia,Whole School Score,2c,Grade Band Score,percentage,83.54999999999998,79.3606392694064,80.11933789954337,Y
2022-2023,7830613,Brookhaven Innovation Academy,Whole School Score,2c,Grade Band Score,percentage,80.6842909760589,68.56679558011051,77.38380294659298,Y
2022-2023,7820121,Utopian Academy for the Arts Charter School,M,1d,Value-Add,decimal,-0.06103126332163811,0.01949419276752451,0.02604113900451921,N
2022-2023,7830621,SLAM Academy of Atlanta,E,1d,Value-Add,decimal,-0.019467923790216446,0.0381691640459394,0.04779368138406426,N
2022-2023,7820612,"Ivy Preparatory Academy, Inc",M,1c,Grade Band Score,percentage,58.195,64.31357142857142,69.05258928571428,N
2022-2023,7830632,Atlanta Unbound Academy,Whole School Score,2c,Grade Band Score,percentage,27.40856031128405,66.98077821011674,77.95885214007782,N
2020-2021,7830621,SLAM Academy of Atlanta,E,1f,GaDOE Achievement,percentage,22.37,21.200591752577324,"",""
2022-2023,7820212,Cherokee Charter Academy,M,1a,Content Mastery,percentage,58.9,67.19950000000001,69.254,N
2021-2022,7830210,Pataula Charter Academy,E,1b,Progress,percentage,82.5,70.6,"",Y
2021-2022,7830410,Atlanta Heights Charter School,E,1b,Progress,percentage,56,82.0,"",N
2022-2023,7830637,DeKalb Brilliance Academy,Whole School Score,2b,Progress,percentage,"",83.8067415730337,90.25955056179777,Y
2022-2023,7830103,Statesboro STEAM Academy,H,1b,Progress,percentage,71.4,71.09230769230768,70.5,Y
2020-2021,7820110,Odyssey Charter School,E,1a-a,Content Mastery Adjusted,percentage,46.25601428188679,53.06546161658228,"",N
2022-2023,7830630,Baconton Community Charter School,M,1c,Grade Band Score,percentage,85.56499999999998,74.02638982835441,75.27772151898733,Y
2021-2022,7820615,Scintilla Charter Academy,E,1a,Content Mastery,percentage,89.9,59.6,58.8,Y
2022-2023,7830613,Brookhaven Innovation Academy,E,1d,Value-Add,decimal,0.057666435837745667,0.004551583504508017,0.0402317932312144,N
2021-2022,7830628,Ethos Classical Charter School,E,1d,Value-Add,decimal,0.3116,0.1372,"",Y
2022-2023,7820121,Utopian Academy for the Arts Charter School,Whole School Score,2c,Grade Band Score,percentage,57.21999999999999,65.42393540669859,68.39461722488038,N
2022-2023,7830624,Spring Creek Charter Academy,M,1b,Progress,percentage,61.4,78.72213114754098,74.09918032786885,N
2022-2023,7830615,Genesis Innovation Academy for Boys,E,1d,Value-Add,decimal,0.21074901521205902,0.03503089448798846,0.046593969127570745,Y
2021-2022,7830616,Genesis Innovation Academy for Girls,H,1b,Progress,percentage,43.5,59.3,"",N
2022-2023,7820614,International Charter School of Atlanta,E,1a,Content Mastery,percentage,91.4,83.63048600883654,77.99381443298968,Y
2020-2021,7830410,Atlanta Heights Charter School,E,1f,GaDOE Achievement,percentage,37.77569999999999,18.328750089766608,"",Y
2022-2023,7830636,Northwest Classical Academy,E,1a,Content Mastery,percentage,73,73.42650334075726,72.11425389755011,Y
2020-2021,7820615,Scintilla Charter Academy,E,1a-na,Content Mastery Non-Adjusted,percentage,86.06382962918883,50.23902614360043,"",Y
2020-2021,7820212,Cherokee Charter Academy,M,1a-a,Content Mastery Adjusted,percentage,44.01662831396183,56.46166670607021,"",N
2020-2021,7830103,Statesboro STEAM Academy,H,1f,GaDOE Achievement,percentage,30.595,55.27692934782608,"",N
2022-2023,7830410,Atlanta Heights Charter School,E,1d,Value-Add,decimal,0.00025203911354765296,0.02669101898527515,0.052885786892147735,N
2022-2023,7830628,Ethos Classical Charter School,Whole School Score,2c,Grade Band Score,percentage,"",68.81109953703702,80.86847222222221,Y
2022-2023,7830634,Georgia Fugees Academy Charter School,M,1b,Progress,percentage,98.1,80.91031746031746,81.7,Y
2021-2022,7830611,Cirrus Charter Academy,M,1b,Progress,percentage,73.6,72.4,"",Y
2022-2023,7830630,Baconton Community Charter School,M,1b,Progress,percentage,95.3,90.1097015257384,89.61434599156118,Y
2022-2023,7830623,Academy For Classical Education,Whole School Score,2a,Content Mastery,percentage,96.47008219178085,50.972328767123315,42.41375342465754,Y
2021-2022,7830617,Resurgence Hall Charter School,E,1d,Value-Add,decimal,0.0028,0.1518,"",N
2022-2023,7830613,Brookhaven Innovation Academy,Whole School Score,2b,Progress,percentage,88.2220994475138,82.2388581952118,87.31731123388579,Y
2022-2023,7830630,Baconton Community Charter School,E,1b,Progress,percentage,78.2,68.30475221212123,93.40353535353536,Y
2021-2022,7820616,Georgia School for Innovation and the Classics,H,1d,Value-Add,decimal,-0.256,-0.2712,"",S
2021-2022,7820120,Georgia Cyber Academy,M,1a,Content Mastery,percentage,62,50.6,55.3,Y
2020-2021,7830618,SAIL Charter Academy,M,1f,GaDOE Achievement,percentage,56.43749999999999,59.45062943262411,"",N
2021-2022,7830614,Liberty Tech Charter Academy,M,1d,Value-Add,decimal,0.0437,0.0315,"",S
2020-2021,7820616,Georgia School for Innovation and the Classics,E,1a-na,Content Mastery Non-Adjusted,percentage,64.20454578068181,31.81527344979793,"",Y
2022-2023,7820212,Cherokee Charter Academy,E,1c,Grade Band Score,percentage,77.75999999999999,76.72664621676891,77.96310838445808,Y
2022-2023,7830632,Atlanta Unbound Academy,E,1c,Grade Band Score,percentage,"",68.8159316770186,80.56524844720497,Y
2022-2023,7830621,SLAM Academy of Atlanta,Whole School Score,2a,Content Mastery,percentage,29.627807486631017,35.681283422459884,59.070588235294125,N
2021-2022,7830623,Academy For Classical Education,H,1d,Value-Add,decimal,0.2978,-0.125,"",Y
2022-2023,7820120,Georgia Cyber Academy,Whole School Score,2c,Grade Band Score,percentage,62.63663027874474,68.12733417061455,71.56047785961485,N
2021-2022,7830616,Genesis Innovation Academy for Girls,H,1d,Value-Add,decimal,-0.059,0.0128,"",S
2022-2023,7830626,Furlow Charter School,Whole School Score,2c,Grade Band Score,percentage,65.46457641196014,68.87221760797341,68.31630398671096,N
2020-2021,7830626,Furlow Charter School,E,1f,GaDOE Achievement,percentage,50.0205,22.28009721362229,"",Y
2021-2022,7830628,Ethos Classical Charter School,E,1a,Content Mastery,percentage,52.4,40.3,66.6,Y
2022-2023,7830610,Coweta Charter Academy,E,1c,Grade Band Score,percentage,70.55999999999999,74.62200769230769,74.39939230769231,N
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,M,1a,Content Mastery,percentage,51.1,40.39920634920635,40.84126984126984,Y
2022-2023,7830210,Pataula Charter Academy,E,1c,Grade Band Score,percentage,79.01,70.65659926470587,70.70215073529411,Y
2021-2022,7820110,Odyssey Charter School,E,1d,Value-Add,decimal,-0.0751,0.0422,"",N
2021-2022,7820612,Ivy Preparatory Academy,M,1a,Content Mastery,percentage,49.3,32.4,46.9,Y
2022-2023,7830613,Brookhaven Innovation Academy,M,1c,Grade Band Score,percentage,70.53999999999999,65.33748120300753,72.50421052631579,Y
2021-2022,7830624,Spring Creek Charter Academy,M,1b,Progress,percentage,81.7,71.2,"",Y
2021-2022,7830634,Georgia Fugees Academy Charter School,H,1b,Progress,percentage,"","","",""
2021-2022,7830103,Statesboro STEAM Academy,M,1d,Value-Add,decimal,-0.116,-0.0576,"",S
2022-2023,7830626,Furlow Charter School,E,1b,Progress,percentage,82,93.11920529801324,94.5841059602649,N
2021-2022,7820412,Georgia Connections Academy,E,1b,Progress,percentage,53.9,78.7,"",N
2021-2022,7830615,Genesis Innovation Academy for Boys,E,1b,Progress,percentage,81.9,80.7,"",Y
2022-2023,7830616,Genesis Innovation Academy for Girls,E,1d,Value-Add,decimal,-0.00807381421327591,0.03421124360374961,0.044744013917807024,N
2022-2023,7830636,Northwest Classical Academy,M,1d,Value-Add,decimal,-0.0014577063266187906,-0.003482994048681576,0.00934380256512668,N
2022-2023,7830636,Northwest Classical Academy,E,1d,Value-Add,decimal,-0.07973098754882812,-0.0061737496453133645,-0.01779154911309888,N
2021-2022,7830210,Pataula Charter Academy,H,1d,Value-Add,decimal,-0.0224,0.1663,"",N
2022-2023,7830210,Pataula Charter Academy,M,1d,Value-Add,decimal,0.015494738705456257,0.1022956789820455,0.1022956789820455,N
2022-2023,7830634,Georgia Fugees Academy Charter School,Whole School Score,2c,Grade Band Score,percentage,54.78215469613259,62.32936464088397,68.81162983425413,N
2022-2023,7830626,Furlow Charter School,Whole School Score,2a,Content Mastery,percentage,51.9029900332226,35.19518272425249,35.092524916943525,Y
2022-2023,7830630,Baconton Community Charter School,H,1b,Progress,percentage,100,49.45744680851064,51.99617021276596,Y
2022-2023,7830410,Atlanta Heights Charter School,M,1d,Value-Add,decimal,0.06594224274158478,-0.009932046516041737,0.013440980430459604,Y
2022-2023,7830611,Cirrus Charter Academy,Whole School Score,2d,Value-Add,decimal,0.057974234223365784,-0.06377401201052635,-0.06538708209700417,Y
2022-2023,7830614,Liberty Tech Charter Academy,E,1a,Content Mastery,percentage,69.8,61.842105263157876,64.14934210526314,Y
2020-2021,7830623,Academy For Classical Education,H,1f,GaDOE Achievement,percentage,94.01750000000001,45.68845903165736,"",Y
2020-2021,7820615,Scintilla Charter Academy,E,1f,GaDOE Achievement,percentage,86.3016,56.25265977859779,"",Y
2020-2021,7830630,Baconton Community Charter School,E,1a-a,Content Mastery Adjusted,percentage,58.23277204018519,24.736502886691785,"",Y
2021-2022,7830610,Coweta Charter Academy,E,1b,Progress,percentage,69.8,75.8,"",N
2022-2023,7830614,Liberty Tech Charter Academy,Whole School Score,2a,Content Mastery,percentage,71.49134396355352,62.00751708428244,64.98063781321186,Y
2021-2022,7830623,Academy For Classical Education,H,1b,Progress,percentage,100,67.1,"",Y
2022-2023,7820616,Georgia School for Innovation and the Classics,Whole School Score,2b,Progress,percentage,70.75950920245398,66.00296523517383,72.51359918200409,Y
2020-2021,7830615,Genesis Innovation Academy for Boys,E,1f,GaDOE Achievement,percentage,46.165,26.785457661290327,"",Y
2020-2021,7830626,Furlow Charter School,M,1f,GaDOE Achievement,percentage,29.817500000000003,28.81155381944444,"",""
2022-2023,7830643,Amana Academy West Atlanta,E,1a,Content Mastery,percentage,75.8,52.885714285714265,70.32514285714285,Y
2022-2023,7830613,Brookhaven Innovation Academy,E,1a,Content Mastery,percentage,66.6,54.60000000000001,68.40853658536587,Y
2022-2023,7820615,Scintilla Charter Academy,M,1b,Progress,percentage,96.5,85.3116883116883,84.1103896103896,Y
2022-2023,7830620,International Charter Academy of Georgia,Whole School Score,2b,Progress,percentage,75.69999999999999,88.90045662100458,89.0607305936073,N
2022-2023,7830616,Genesis Innovation Academy for Girls,M,1b,Progress,percentage,90.6,80.53235294117646,82.35588235294118,Y
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,H,1c,Grade Band Score,percentage,"",64.70495192307692,64.78673076923076,Y
2020-2021,7820616,Georgia School for Innovation and the Classics,E,1f,GaDOE Achievement,percentage,64.7701,35.61617163461537,"",Y
2022-2023,7830610,Coweta Charter Academy,E,1b,Progress,percentage,81.8,79.15292307692309,84.12076923076924,Y
2022-2023,7820617,Dubois Integrity Academy,M,1a,Content Mastery,percentage,47.7,35.0,40.11555555555556,Y
2022-2023,7820120,Georgia Cyber Academy,Whole School Score,2b,Progress,percentage,74.46169132223795,79.59818396990855,81.43854822965659,N
2022-2023,7830628,Ethos Classical Charter School,E,1b,Progress,percentage,"",87.14398148148148,90.13333333333331,Y
2021-2022,7830614,Liberty Tech Charter Academy,M,1b,Progress,percentage,87.8,84.8,"",Y
2021-2022,7820120,Georgia Cyber Academy,Whole School Score,2a,Content Mastery,percentage,55.76063318571563,52.83292155755432,"",Y
2021-2022,7830625,Yi Hwang Academy of Language Excellence,Whole School Score,2a,Content Mastery,percentage,93.9,81.2,"",Y
2022-2023,7830634,Georgia Fugees Academy Charter School,H,1c,Grade Band Score,percentage,"",59.754090909090905,69.73172727272726,Y
2021-2022,7830210,Pataula Charter Academy,M,1b,Progress,percentage,93.3,79.4,"",Y
2021-2022,7830103,Statesboro STEAM Academy,M,1a,Content Mastery,percentage,48.4,46.3,54.1,Y
2020-2021,7830624,Spring Creek Charter Academy,M,1a-na,Content Mastery Non-Adjusted,percentage,45.99888863760767,48.737494565183304,"",N
2022-2023,7830210,Pataula Charter Academy,H,1c,Grade Band Score,percentage,73.7,63.18328651685392,63.79516853932583,Y
2022-2023,7830618,SAIL Charter Academy - School for Arts-Infused Learning,M,1d,Value-Add,decimal,-0.12539948523044586,-0.016884470838704146,-0.12539948523044586,N
2022-2023,7820110,Odyssey Charter School,Whole School Score,2c,Grade Band Score,percentage,75.56761904761905,73.08791316526612,75.20341736694678,Y
2022-2023,7830620,International Charter Academy of Georgia,E,1a,Content Mastery,percentage,91.4,72.67762557077624,70.87990867579907,Y
2020-2021,7830612,Southwest Georgia S.T.E.M. Charter Academy,H,1f,GaDOE Achievement,percentage,40.625,29.13436046511628,"",Y
2022-2023,7830103,Statesboro STEAM Academy,Whole School Score,2b,Progress,percentage,69.73756097560977,74.22585365853658,76.91756097560976,N
2022-2023,7820615,Scintilla Charter Academy,M,1d,Value-Add,decimal,0.14038902521133423,0.03324679419165477,0.03585353845846839,Y
2020-2021,7830611,Cirrus Charter Academy,E,1a-a,Content Mastery Adjusted,percentage,4.641512509050485,14.280421885545076,"",N
2022-2023,7830310,Fulton Leadership Academy,H,1a,Content Mastery,percentage,32.6,40.82255639097745,68.86090225563909,N
2022-2023,7830632,Atlanta Unbound Academy,M,1d,Value-Add,decimal,0.1622871309518814,0.0027516912032297114,0.010914183018030599,Y
2022-2023,7830642,Destination Career Academy of Georgia,M,1b,Progress,percentage,55.8,79.64641509433962,80.46150943396228,N
2021-2022,7820614,International Charter School of Atlanta,E,1a,Content Mastery,percentage,89.7,84.4,76.7,Y
2021-2022,7830616,Genesis Innovation Academy for Girls,M,1b,Progress,percentage,94.8,77.1,"",Y
2022-2023,7830625,Yi Hwang Academy of Language Excellence,Whole School Score,2c,Grade Band Score,percentage,99.11000000000007,82.79403076923077,80.23632307692309,Y
2021-2022,7830610,Coweta Charter Academy,M,1b,Progress,percentage,79.3,77.8,"",Y
2021-2022,7830627,Atlanta SMART Academy,E,1d,Value-Add,decimal,-0.2809,0.1211,"",N
2022-2023,7830627,Atlanta SMART Academy,E,1d,Value-Add,decimal,0.10885732620954514,0.0492028893911538,0.028591713053174317,N
2021-2022,7830621,SLAM Academy of Atlanta,E,1d,Value-Add,decimal,-0.185,0.1424,"",N
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,M,1d,Value-Add,decimal,0.04146258533000946,0.060484416608233005,0.06209362592744583,N
2021-2022,7820614,International Charter School of Atlanta,E,1b,Progress,percentage,88.7,86.9,"",Y
2022-2023,7830618,SAIL Charter Academy - School for Arts-Infused Learning,M,1b,Progress,percentage,79.4,82.87905405405405,79.70337837837837,S
2021-2022,7820412,Georgia Connections Academy,M,1d,Value-Add,decimal,-0.1077,0.0145,"",N
